"[2023-09-23 14:10:06.857] 1157.75[rpm]	Before: 809610398[us]	After: 809714047[us]	Width: 103649[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 809714039 [us]	IGN_OFF: 809715044 [us]	INJ_ON: 809764492 [us]	INJ_OFF: 809765597 [us]"
"[2023-09-23 14:10:06.960] 1178.02[rpm]	Before: 809714047[us]	After: 809815913[us]	Width: 101866[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 809816554 [us]	IGN_OFF: 809817570 [us]	INJ_ON: 809865215 [us]	INJ_OFF: 809866321 [us]"
"[2023-09-23 14:10:07.056] 1204.23[rpm]	Before: 809815913[us]	After: 809915562[us]	Width: 99649[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 809916171 [us]	IGN_OFF: 809917188 [us]	INJ_ON: 809964040 [us]	INJ_OFF: 809965144 [us]"
"[2023-09-23 14:10:07.153] 1229.86[rpm]	Before: 809915562[us]	After: 810013134[us]	Width: 97572[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810013777 [us]	IGN_OFF: 810014793 [us]	INJ_ON: 810060212 [us]	INJ_OFF: 810060000 [us]"
"[2023-09-23 14:10:07.249] 1263.66[rpm]	Before: 810013134[us]	After: 810108096[us]	Width: 94962[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810108747 [us]	IGN_OFF: 810109759 [us]	INJ_ON: 810154027 [us]	INJ_OFF: 810155128 [us]"
"[2023-09-23 14:10:07.341] 1296.40[rpm]	Before: 810108096[us]	After: 810200660[us]	Width: 92564[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810200647 [us]	IGN_OFF: 810201649 [us]	INJ_ON: 810245502 [us]	INJ_OFF: 810246606 [us]"
"[2023-09-23 14:10:07.431] 1324.90[rpm]	Before: 810200660[us]	After: 810291233[us]	Width: 90573[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810291878 [us]	IGN_OFF: 810292891 [us]	INJ_ON: 810335265 [us]	INJ_OFF: 810336366 [us]"
"[2023-09-23 14:10:07.522] 1348.89[rpm]	Before: 810291233[us]	After: 810380195[us]	Width: 88962[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810380841 [us]	IGN_OFF: 810381853 [us]	INJ_ON: 810423214 [us]	INJ_OFF: 810423003 [us]"
"[2023-09-23 14:10:07.609] 1383.22[rpm]	Before: 810380195[us]	After: 810466949[us]	Width: 86754[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810466936 [us]	IGN_OFF: 810467947 [us]	INJ_ON: 810508780 [us]	INJ_OFF: 810509882 [us]"
"[2023-09-23 14:10:07.693] 1423.66[rpm]	Before: 810466949[us]	After: 810551239[us]	Width: 84290[us]	INJ: 1.1[ms]	IGN: 0[CA] 	IGN_ON: 810551885 [us]	IGN_OFF: 810552898 [us]	INJ_ON: 810591744 [us]	INJ_OFF: 810591001 [us]"
