
[2023-09-24 20:51:54.605] 2391.15[rpm]	Before: 25302797[us]	After: 25352982[us]	Width: 50185[us]	INJ: 1.15[ms]	IGN: 0[CA]	INJON: 25327682[us]	INJOFF: 25328834[us]	IGNON: 25352649[us]	IGNOFF: 25303646[us]
[2023-09-24 20:51:54.654] 2450.63[rpm]	Before: 25352982[us]	After: 25401949[us]	Width: 48967[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25377258[us]	INJOFF: 25378410[us]	IGNON: 25401611[us]	IGNOFF: 25353838[us]
[2023-09-24 20:51:54.702] 2497.71[rpm]	Before: 25401949[us]	After: 25449993[us]	Width: 48044[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25425780[us]	INJOFF: 25426784[us]	IGNON: 25449658[us]	IGNOFF: 25402792[us]
[2023-09-24 20:51:54.749] 2543.29[rpm]	Before: 25449993[us]	After: 25497176[us]	Width: 47183[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25473311[us]	INJOFF: 25474312[us]	IGNON: 25496837[us]	IGNOFF: 25450839[us]
[2023-09-24 20:51:54.796] 2578.93[rpm]	Before: 25497176[us]	After: 25543707[us]	Width: 46531[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25520221[us]	INJOFF: 25521222[us]	IGNON: 25543382[us]	IGNOFF: 25497994[us]
[2023-09-24 20:51:54.842] 2611.82[rpm]	Before: 25543707[us]	After: 25589652[us]	Width: 45945[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25566385[us]	INJOFF: 25567390[us]	IGNON: 25589329[us]	IGNOFF: 25544696[us]
[2023-09-24 20:51:54.887] 2648.13[rpm]	Before: 25589652[us]	After: 25634967[us]	Width: 45315[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25612084[us]	INJOFF: 25613089[us]	IGNON: 25634657[us]	IGNOFF: 25590643[us]
[2023-09-24 20:51:54.932] 2690.10[rpm]	Before: 25634967[us]	After: 25679575[us]	Width: 44608[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25657043[us]	INJOFF: 25658047[us]	IGNON: 25679273[us]	IGNOFF: 25635812[us]
[2023-09-24 20:51:54.976] 2727.95[rpm]	Before: 25679575[us]	After: 25723564[us]	Width: 43989[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25701314[us]	INJOFF: 25702315[us]	IGNON: 25723244[us]	IGNOFF: 25680428[us]
[2023-09-24 20:51:55.020] 2753.11[rpm]	Before: 25723564[us]	After: 25767151[us]	Width: 43587[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25745095[us]	INJOFF: 25746096[us]	IGNON: 25766854[us]	IGNOFF: 25766000[us]
[2023-09-24 20:51:55.062] 2783.77[rpm]	Before: 25767151[us]	After: 25810258[us]	Width: 43107[us]	INJ: 1.00[ms]	IGN: 5[CA]	INJON: 25788452[us]	INJOFF: 25789457[us]	IGNON: 25809942[us]	IGNOFF: 25766000[us]
[2023-09-24 20:51:55.105] 2820.28[rpm]	Before: 25810258[us]	After: 25852807[us]	Width: 42549[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 25831300[us]	INJOFF: 25831000[us]	IGNON: 25852516[us]	IGNOFF: 25811109[us]
[2023-09-24 20:51:55.147] 2849.95[rpm]	Before: 25852807[us]	After: 25894913[us]	Width: 42106[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 25873624[us]	INJOFF: 25873002[us]	IGNON: 25894038[us]	IGNOFF: 25853650[us]
[2023-09-24 20:51:55.188] 2882.33[rpm]	Before: 25894913[us]	After: 25936546[us]	Width: 41633[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 25915459[us]	INJOFF: 25916266[us]	IGNON: 25935679[us]	IGNOFF: 25895758[us]
[2023-09-24 20:51:55.231] 2904.02[rpm]	Before: 25936546[us]	After: 25977868[us]	Width: 41322[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 25956977[us]	INJOFF: 25956003[us]	IGNON: 25977014[us]	IGNOFF: 25937398[us]
[2023-09-24 20:51:55.272] 2941.46[rpm]	Before: 25977868[us]	After: 26018664[us]	Width: 40796[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 25998062[us]	INJOFF: 25998863[us]	IGNON: 26017809[us]	IGNOFF: 26017003[us]
[2023-09-24 20:51:55.312] 2977.67[rpm]	Before: 26018664[us]	After: 26058964[us]	Width: 40300[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 26039136[us]	INJOFF: 26039941[us]	IGNON: 26058690[us]	IGNOFF: 26017003[us]
[2023-09-24 20:51:55.351] 3011.82[rpm]	Before: 26058964[us]	After: 26098807[us]	Width: 39843[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 26079236[us]	INJOFF: 26080039[us]	IGNON: 26098513[us]	IGNOFF: 26059802[us]
[2023-09-24 20:51:55.391] 3045.38[rpm]	Before: 26098807[us]	After: 26138211[us]	Width: 39404[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 26118838[us]	INJOFF: 26119642[us]	IGNON: 26137919[us]	IGNOFF: 26099655[us]
[2023-09-24 20:51:55.429] 3091.67[rpm]	Before: 26138211[us]	After: 26177025[us]	Width: 38814[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 26157942[us]	INJOFF: 26158749[us]	IGNON: 26176761[us]	IGNOFF: 26176003[us]
[2023-09-24 20:51:55.469] 3126.71[rpm]	Before: 26177025[us]	After: 26215404[us]	Width: 38379[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 26196505[us]	INJOFF: 26197312[us]	IGNON: 26215123[us]	IGNOFF: 26176003[us]
[2023-09-24 20:51:55.506] 3165.48[rpm]	Before: 26215404[us]	After: 26253313[us]	Width: 37909[us]	INJ: 0.80[ms]	IGN: 10[CA]	INJON: 26234700[us]	INJOFF: 26234000[us]	IGNON: 26253043[us]	IGNOFF: 26216263[us]
[2023-09-24 20:51:55.543] 3212.51[rpm]	Before: 26253313[us]	After: 26290667[us]	Width: 37354[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26272273[us]	INJOFF: 26273076[us]	IGNON: 26290398[us]	IGNOFF: 26254156[us]
[2023-09-24 20:51:55.580] 3260.25[rpm]	Before: 26290667[us]	After: 26327474[us]	Width: 36807[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26309376[us]	INJOFF: 26309978[us]	IGNON: 26327201[us]	IGNOFF: 26291507[us]
[2023-09-24 20:51:55.616] 3291.82[rpm]	Before: 26327474[us]	After: 26363928[us]	Width: 36454[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26345983[us]	INJOFF: 26346588[us]	IGNON: 26363664[us]	IGNOFF: 26328315[us]
[2023-09-24 20:51:55.652] 3314.64[rpm]	Before: 26363928[us]	After: 26400131[us]	Width: 36203[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26382295[us]	INJOFF: 26382901[us]	IGNON: 26399878[us]	IGNOFF: 26399000[us]
[2023-09-24 20:51:55.689] 3339.55[rpm]	Before: 26400131[us]	After: 26436064[us]	Width: 35933[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26418395[us]	INJOFF: 26418997[us]	IGNON: 26435800[us]	IGNOFF: 26399000[us]
[2023-09-24 20:51:55.725] 3395.87[rpm]	Before: 26436064[us]	After: 26471401[us]	Width: 35337[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26454067[us]	INJOFF: 26454669[us]	IGNON: 26471156[us]	IGNOFF: 26436916[us]
[2023-09-24 20:51:55.759] 3438.10[rpm]	Before: 26471401[us]	After: 26506304[us]	Width: 34903[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26489111[us]	INJOFF: 26489717[us]	IGNON: 26506057[us]	IGNOFF: 26472239[us]
[2023-09-24 20:51:55.793] 3472.72[rpm]	Before: 26506304[us]	After: 26540859[us]	Width: 34555[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26523841[us]	INJOFF: 26524449[us]	IGNON: 26540615[us]	IGNOFF: 26507144[us]
[2023-09-24 20:51:55.828] 3508.46[rpm]	Before: 26540859[us]	After: 26575062[us]	Width: 34203[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26558209[us]	INJOFF: 26558814[us]	IGNON: 26574804[us]	IGNOFF: 26574002[us]
[2023-09-24 20:51:55.862] 3536.59[rpm]	Before: 26575062[us]	After: 26608993[us]	Width: 33931[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26592277[us]	INJOFF: 26592883[us]	IGNON: 26608754[us]	IGNOFF: 26574002[us]
[2023-09-24 20:51:55.896] 3567.29[rpm]	Before: 26608993[us]	After: 26642632[us]	Width: 33639[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26626077[us]	INJOFF: 26626679[us]	IGNON: 26642375[us]	IGNOFF: 26609844[us]
[2023-09-24 20:51:55.928] 3593.24[rpm]	Before: 26642632[us]	After: 26676028[us]	Width: 33396[us]	INJ: 0.60[ms]	IGN: 15[CA]	INJON: 26659570[us]	INJOFF: 26660178[us]	IGNON: 26675773[us]	IGNOFF: 26643492[us]
[2023-09-24 20:51:55.962] 3614.24[rpm]	Before: 26676028[us]	After: 26709230[us]	Width: 33202[us]	INJ: 0.60[ms]	IGN: 20[CA]	INJON: 26692878[us]	INJOFF: 26692003[us]	IGNON: 26708000[us]	IGNOFF: 26709029[us]
[2023-09-24 20:51:55.995] 3640.22[rpm]	Before: 26709230[us]	After: 26742195[us]	Width: 32965[us]	INJ: 0.60[ms]	IGN: 20[CA]	INJON: 26725976[us]	INJOFF: 26725003[us]	IGNON: 26741506[us]	IGNOFF: 26709029[us]
[2023-09-24 20:51:56.028] 3668.49[rpm]	Before: 26742195[us]	After: 26774906[us]	Width: 32711[us]	INJ: 0.60[ms]	IGN: 20[CA]	INJON: 26758789[us]	INJOFF: 26759397[us]	IGNON: 26774203[us]	IGNOFF: 26743186[us]
[2023-09-24 20:51:56.060] 3690.94[rpm]	Before: 26774906[us]	After: 26807418[us]	Width: 32512[us]	INJ: 0.60[ms]	IGN: 20[CA]	INJON: 26791394[us]	INJOFF: 26791996[us]	IGNON: 26806732[us]	IGNOFF: 26775758[us]
[2023-09-24 20:51:56.092] 3706.79[rpm]	Before: 26807418[us]	After: 26839791[us]	Width: 32373[us]	INJ: 0.60[ms]	IGN: 20[CA]	INJON: 26823845[us]	INJOFF: 26824449[us]	IGNON: 26839111[us]	IGNOFF: 26808261[us]
[2023-09-24 20:51:56.125] 3726.13[rpm]	Before: 26839791[us]	After: 26871996[us]	Width: 32205[us]	INJ: 0.60[ms]	IGN: 20[CA]	INJON: 26856149[us]	INJOFF: 26856751[us]	IGNON: 26871312[us]	IGNOFF: 26840637[us]
[2023-09-24 20:51:56.156] 3755.52[rpm]	Before: 26871996[us]	After: 26903949[us]	Width: 31953[us]	INJ: 0.60[ms]	IGN: 20[CA]	INJON: 26888229[us]	INJOFF: 26888831[us]	IGNON: 26903269[us]	IGNOFF: 26872841[us]
[2023-09-24 20:51:56.188] 3789.19[rpm]	Before: 26903949[us]	After: 26935618[us]	Width: 31669[us]	INJ: 0.60[ms]	IGN: 20[CA]	INJON: 26920010[us]	INJOFF: 26920615[us]	IGNON: 26934955[us]	IGNOFF: 26904798[us]
